PROVINSI / PROVINCE,SP1971,SP1980,SP1990,SP2000,SP2010,LF SP2020
ACEH,6.27,5.24,4.37,2.81,2.79,2.42
SUMATERA UTARA,7.20,5.94,4.29,3.10,3.01,2.48
SUMATERA BARAT,6.18,5.76,3.89,3.06,2.91,2.46
RIAU,5.94,5.44,4.09,2.77,2.82,2.28
JAMBI,6.39,5.57,3.76,2.67,2.51,2.28
SUMATERA SELATAN,6.33,5.59,4.22,2.88,2.56,2.23
BENGKULU,6.72,6.20,3.97,2.68,2.51,2.30
LAMPUNG,6.36,5.75,4.05,2.65,2.45,2.28
KEPULAUAN BANGKA BELITUNG,-,-,-,2.60,2.54,2.24
KEPULAUAN RIAU,-,-,-,-,2.38,2.21
DKI JAKARTA,5.18,3.99,2.33,1.63,1.82,1.75
JAWA BARAT,6.34,5.07,3.47,2.51,2.43,2.11
JAWA TENGAH,5.33,4.37,3.05,2.06,2.20,2.09
DI YOGYAKARTA,4.76,3.42,2.08,1.44,1.94,1.89
JAWA TIMUR,4.72,3.56,2.46,1.71,2.00,1.98
BANTEN,-,-,-,2.72,2.35,2.01
BALI,5.96,3.97,2.28,1.89,2.13,2.04
NUSA TENGGARA BARAT,6.66,6.49,4.98,2.92,2.59,2.43
NUSA TENGGARA TIMUR,5.96,5.54,4.61,3.37,3.82,2.79
KALIMANTAN BARAT,6.27,5.52,4.44,2.99,2.64,2.33
KALIMANTAN TENGAH,6.83,5.87,4.03,2.74,2.56,2.31
KALIMANTAN SELATAN,5.43,4.60,3.24,2.33,2.35,2.31
KALIMANTAN TIMUR,5.41,4.99,3.28,2.50,2.61,2.18
KALIMANTAN UTARA,-,-,-,-,-,2.35
SULAWESI UTARA,6.79,4.91,2.69,2.13,2.43,2.10
SULAWESI TENGAH,6.53,5.90,3.85,2.75,2.94,2.32
SULAWESI SELATAN,5.71,4.88,3.54,2.56,2.55,2.22
SULAWESI TENGGARA,6.45,5.82,4.91,3.31,3.20,2.57
GORONTALO,-,-,-,2.70,2.76,2.30
SULAWESI BARAT,-,-,-,-,3.33,2.58
MALUKU,6.89,6.16,4.59,3.39,3.56,2.52
MALUKU UTARA,-,-,-,3.18,3.35,2.47
PAPUA BARAT,-,-,-,-,3.18,2.66
PAPUA,7.20,5.35,4.70,3.28,2.87,2.76
INDONESIA,5.61,4.68,3.33,2.34,2.41,2.18
